20180401 190800;1.231600;1.231720;1.231600;1.231720;0
20180401 190900;1.231720;1.231720;1.231630;1.231670;0
20180401 191000;1.231680;1.231710;1.231660;1.231710;0
20180401 191100;1.231710;1.231710;1.231670;1.231670;0
20180401 191200;1.231620;1.231650;1.231600;1.231620;0
20180401 191300;1.231620;1.231620;1.231620;1.231620;0
20180401 191400;1.231620;1.231630;1.231460;1.231470;0
20180401 191500;1.231460;1.231500;1.231420;1.231470;0
20180401 191600;1.231480;1.231490;1.231480;1.231490;0
20180401 191700;1.231490;1.231490;1.231440;1.231440;0
20180401 191800;1.231430;1.231510;1.231390;1.231390;0
20180401 191900;1.231390;1.231390;1.231380;1.231380;0
20180401 192000;1.231390;1.231390;1.231360;1.231360;0
20180401 192100;1.231360;1.231360;1.231340;1.231360;0
20180401 192200;1.231350;1.231380;1.231350;1.231380;0
20180401 192300;1.231390;1.231430;1.231370;1.231390;0
20180401 192400;1.231390;1.231400;1.231370;1.231370;0
20180401 192500;1.231370;1.231370;1.231360;1.231360;0
20180401 192600;1.231360;1.231400;1.231350;1.231350;0
20180401 192700;1.231350;1.231350;1.231320;1.231320;0
20180401 192800;1.231330;1.231380;1.231330;1.231380;0
20180401 192900;1.231370;1.231370;1.231370;1.231370;0
20180401 193000;1.231390;1.231390;1.231380;1.231380;0
20180401 193100;1.231390;1.231460;1.231380;1.231420;0
20180401 193200;1.231450;1.231500;1.231450;1.231490;0
20180401 193300;1.231500;1.231500;1.231480;1.231490;0
20180401 193400;1.231480;1.231530;1.231480;1.231500;0
20180401 193500;1.231490;1.231490;1.231460;1.231460;0
20180401 193600;1.231470;1.231480;1.231460;1.231470;0
20180401 193700;1.231470;1.231470;1.231440;1.231440;0
20180401 193800;1.231430;1.231430;1.231430;1.231430;0
20180401 193900;1.231440;1.231440;1.231440;1.231440;0
20180401 194000;1.231430;1.231430;1.231380;1.231380;0
20180401 194100;1.231370;1.231370;1.231310;1.231350;0
20180401 194200;1.231350;1.231350;1.231320;1.231320;0
20180401 194300;1.231320;1.231350;1.231310;1.231350;0
20180401 194400;1.231340;1.231340;1.231330;1.231330;0
20180401 194500;1.231320;1.231390;1.231320;1.231390;0
20180401 194600;1.231400;1.231470;1.231390;1.231460;0
20180401 194700;1.231450;1.231470;1.231450;1.231470;0
20180401 194800;1.231460;1.231460;1.231380;1.231380;0
20180401 194900;1.231390;1.231440;1.231390;1.231420;0
20180401 195000;1.231420;1.231470;1.231420;1.231470;0
20180401 195100;1.231470;1.231470;1.231440;1.231440;0
20180401 195200;1.231470;1.231540;1.231470;1.231530;0
20180401 195300;1.231510;1.231510;1.231430;1.231470;0
20180401 195400;1.231450;1.231450;1.231350;1.231400;0
20180401 195500;1.231400;1.231470;1.231400;1.231470;0
20180401 195600;1.231440;1.231460;1.231440;1.231450;0
20180401 195700;1.231450;1.231450;1.231390;1.231390;0
20180401 195800;1.231390;1.231390;1.231320;1.231320;0
20180401 195900;1.231290;1.231290;1.231220;1.231230;0
20180401 200000;1.231220;1.231260;1.231150;1.231240;0
20180401 200100;1.231270;1.231370;1.231190;1.231370;0
20180401 200200;1.231380;1.231450;1.231360;1.231360;0
20180401 200300;1.231360;1.231360;1.231300;1.231300;0
20180401 200400;1.231300;1.231300;1.231170;1.231240;0
20180401 200500;1.231230;1.231230;1.231140;1.231140;0
20180401 200600;1.231140;1.231170;1.231090;1.231140;0
20180401 200700;1.231140;1.231230;1.231100;1.231190;0
20180401 200800;1.231190;1.231200;1.231090;1.231150;0
20180401 200900;1.231150;1.231150;1.231100;1.231100;0
20180401 201000;1.231120;1.231120;1.231070;1.231070;0
20180401 201100;1.231060;1.231150;1.231060;1.231150;0
20180401 201200;1.231190;1.231400;1.231150;1.231360;0
20180401 201300;1.231370;1.231410;1.231370;1.231400;0
20180401 201400;1.231390;1.231460;1.231340;1.231450;0
20180401 201500;1.231460;1.231500;1.231350;1.231450;0
20180401 201600;1.231440;1.231550;1.231440;1.231550;0
20180401 201700;1.231560;1.231610;1.231560;1.231590;0
20180401 201800;1.231600;1.231600;1.231530;1.231560;0
20180401 201900;1.231560;1.231680;1.231550;1.231650;0
20180401 202000;1.231650;1.231780;1.231650;1.231770;0
20180401 202100;1.231770;1.231770;1.231680;1.231730;0
20180401 202200;1.231720;1.231800;1.231710;1.231800;0
